Id,AppUserId,AppRecipeId,Rate
1,a4e468d1-3a13-4403-b333-803da7907ff8,7,2.0
2,a4e468d1-3a13-4403-b333-803da7907ff8,8,2.0
3,a4e468d1-3a13-4403-b333-803da7907ff8,9,3.0
4,9cf47856-899b-4c38-9927-540c03211b1b,10,3.0
5,9cf47856-899b-4c38-9927-540c03211b1b,11,1.0
6,9cf47856-899b-4c38-9927-540c03211b1b,7,5.0
7,9cf47856-899b-4c38-9927-540c03211b1b,13,4.0
8,9cf47856-899b-4c38-9927-540c03211b1b,1,3.0
9,9cf47856-899b-4c38-9927-540c03211b1b,14,5.0
10,9cf47856-899b-4c38-9927-540c03211b1b,15,2.0
11,9cf47856-899b-4c38-9927-540c03211b1b,6,2.0
12,e6cc656f-9f93-4c02-b69f-605a6406d894,10,5.0
13,e6cc656f-9f93-4c02-b69f-605a6406d894,16,5.0
14,e6cc656f-9f93-4c02-b69f-605a6406d894,17,5.0
15,e6cc656f-9f93-4c02-b69f-605a6406d894,18,2.0
16,e6cc656f-9f93-4c02-b69f-605a6406d894,19,2.0
17,e6cc656f-9f93-4c02-b69f-605a6406d894,20,1.0
18,e6cc656f-9f93-4c02-b69f-605a6406d894,21,3.0
19,e6cc656f-9f93-4c02-b69f-605a6406d894,22,1.0
20,e6cc656f-9f93-4c02-b69f-605a6406d894,23,2.0
21,e6cc656f-9f93-4c02-b69f-605a6406d894,24,4.0
22,e6cc656f-9f93-4c02-b69f-605a6406d894,25,4.0
23,e6cc656f-9f93-4c02-b69f-605a6406d894,26,4.0
24,e6cc656f-9f93-4c02-b69f-605a6406d894,27,4.0
25,e6cc656f-9f93-4c02-b69f-605a6406d894,28,4.0
26,e6cc656f-9f93-4c02-b69f-605a6406d894,29,3.0
27,e6cc656f-9f93-4c02-b69f-605a6406d894,30,4.0
28,e6cc656f-9f93-4c02-b69f-605a6406d894,31,5.0
29,e6cc656f-9f93-4c02-b69f-605a6406d894,32,5.0
30,740e3e43-19cd-4611-a894-4c82726c7aa7,16,2.0
31,740e3e43-19cd-4611-a894-4c82726c7aa7,17,1.0
32,740e3e43-19cd-4611-a894-4c82726c7aa7,10,2.0
33,740e3e43-19cd-4611-a894-4c82726c7aa7,33,1.0
34,740e3e43-19cd-4611-a894-4c82726c7aa7,31,3.0
35,740e3e43-19cd-4611-a894-4c82726c7aa7,30,4.0
36,740e3e43-19cd-4611-a894-4c82726c7aa7,24,3.0
37,740e3e43-19cd-4611-a894-4c82726c7aa7,25,2.0
38,740e3e43-19cd-4611-a894-4c82726c7aa7,27,4.0
39,740e3e43-19cd-4611-a894-4c82726c7aa7,28,5.0
40,740e3e43-19cd-4611-a894-4c82726c7aa7,34,4.0
41,740e3e43-19cd-4611-a894-4c82726c7aa7,35,5.0
42,740e3e43-19cd-4611-a894-4c82726c7aa7,2,2.0
43,740e3e43-19cd-4611-a894-4c82726c7aa7,36,3.0
44,740e3e43-19cd-4611-a894-4c82726c7aa7,3,4.0
45,740e3e43-19cd-4611-a894-4c82726c7aa7,37,3.0
46,740e3e43-19cd-4611-a894-4c82726c7aa7,8,4.0
47,740e3e43-19cd-4611-a894-4c82726c7aa7,38,2.0
48,740e3e43-19cd-4611-a894-4c82726c7aa7,39,5.0
49,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,7,2.0
50,c76e3b15-41fa-4278-a4df-72dea0c1c4c2,40,3.0
