,Id_x,AppUserId,AppRecipeId,Rate,Id_y,Label,Uri,IngredientId,Id,Name
0,1053,19430afd-dbcf-43b9-9184-17a6a5a07062,1052,4.0,1052,‘Mpanatigghi (Sicilian Chocolate-Meat Cookies),http://www.edamam.com/ontologies/edamam.owl#recipe_25c588c5801c4b2694bed417b40a120e,1002,1002,flour
1,1053,19430afd-dbcf-43b9-9184-17a6a5a07062,1052,4.0,1052,‘Mpanatigghi (Sicilian Chocolate-Meat Cookies),http://www.edamam.com/ontologies/edamam.owl#recipe_25c588c5801c4b2694bed417b40a120e,1003,1003,sugar
2,1053,19430afd-dbcf-43b9-9184-17a6a5a07062,1052,4.0,1052,‘Mpanatigghi (Sicilian Chocolate-Meat Cookies),http://www.edamam.com/ontologies/edamam.owl#recipe_25c588c5801c4b2694bed417b40a120e,1004,1004,unsalted butter
3,1053,19430afd-dbcf-43b9-9184-17a6a5a07062,1052,4.0,1052,‘Mpanatigghi (Sicilian Chocolate-Meat Cookies),http://www.edamam.com/ontologies/edamam.owl#recipe_25c588c5801c4b2694bed417b40a120e,1005,1005,egg yolks
4,2053,19430afd-dbcf-43b9-9184-17a6a5a07062,2067,3.0,2067,Tabasco Spicy Potatoes,http://www.edamam.com/ontologies/edamam.owl#recipe_cb9682173c56e51ceee2278f11355b27,33,33,Mayonnaise
5,2053,19430afd-dbcf-43b9-9184-17a6a5a07062,2067,3.0,2067,Tabasco Spicy Potatoes,http://www.edamam.com/ontologies/edamam.owl#recipe_cb9682173c56e51ceee2278f11355b27,2051,2051,Tabasco Pepper Sauce
6,2053,19430afd-dbcf-43b9-9184-17a6a5a07062,2067,3.0,2067,Tabasco Spicy Potatoes,http://www.edamam.com/ontologies/edamam.owl#recipe_cb9682173c56e51ceee2278f11355b27,2052,2052,lime
7,2066,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,52,5.0,52,Fathers Day Food Lasagne with Meat,http://www.edamam.com/ontologies/edamam.owl#recipe_f3376c0d85e6469eab470deb14570ac0,1,1,Lasagna
8,2066,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,52,5.0,52,Fathers Day Food Lasagne with Meat,http://www.edamam.com/ontologies/edamam.owl#recipe_f3376c0d85e6469eab470deb14570ac0,2,2,Meat
9,2066,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,52,5.0,52,Fathers Day Food Lasagne with Meat,http://www.edamam.com/ontologies/edamam.owl#recipe_f3376c0d85e6469eab470deb14570ac0,3,3,tomatoes
10,2067,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,53,5.0,53,Spice-Rubbed Grilled Flap Meat (Sirloin Tip) Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad,4,4,black peppercorns
11,2067,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,53,5.0,53,Spice-Rubbed Grilled Flap Meat (Sirloin Tip) Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad,5,5,coriander seed
12,2067,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,53,5.0,53,Spice-Rubbed Grilled Flap Meat (Sirloin Tip) Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad,6,6,fennel seed
13,2067,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,53,5.0,53,Spice-Rubbed Grilled Flap Meat (Sirloin Tip) Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad,7,7,cumin
14,2067,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,53,5.0,53,Spice-Rubbed Grilled Flap Meat (Sirloin Tip) Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad,8,8,red pepper flakes
15,2067,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,53,5.0,53,Spice-Rubbed Grilled Flap Meat (Sirloin Tip) Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad,9,9,dried oregano
16,2067,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,53,5.0,53,Spice-Rubbed Grilled Flap Meat (Sirloin Tip) Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad,10,10,garlic
17,2067,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,53,5.0,53,Spice-Rubbed Grilled Flap Meat (Sirloin Tip) Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad,11,11,canola oil
18,2067,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,53,5.0,53,Spice-Rubbed Grilled Flap Meat (Sirloin Tip) Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad,12,12,flap meat
19,2067,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,53,5.0,53,Spice-Rubbed Grilled Flap Meat (Sirloin Tip) Recipe,http://www.edamam.com/ontologies/edamam.owl#recipe_763b4b1ced75faae48164b68ee9e3fad,13,13,Kosher salt
20,2068,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,54,5.0,54,Meat and Fava Stew,http://www.edamam.com/ontologies/edamam.owl#recipe_7d9b74eaccc54ff29819247838284766,3,3,tomatoes
21,2068,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,54,5.0,54,Meat and Fava Stew,http://www.edamam.com/ontologies/edamam.owl#recipe_7d9b74eaccc54ff29819247838284766,10,10,garlic
22,2068,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,54,5.0,54,Meat and Fava Stew,http://www.edamam.com/ontologies/edamam.owl#recipe_7d9b74eaccc54ff29819247838284766,14,14,vegetable oil
23,2068,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,54,5.0,54,Meat and Fava Stew,http://www.edamam.com/ontologies/edamam.owl#recipe_7d9b74eaccc54ff29819247838284766,15,15,yellow onions
24,2068,26c1b77f-11ec-4f0b-b9fa-7fe2faf13901,54,5.0,54,Meat and Fava Stew,http://www.edamam.com/ontologies/edamam.owl#recipe_7d9b74eaccc54ff29819247838284766,16,16,beef stew meat
